Project_ID,MP_ID,State,Constituency,Project_Category,Project_Description,Sanctioned_Amount,Sanction_Date,Expected_Completion_Date,Actual_Completion_Date,Contractor_ID,Project_Status
P00000195,MP0062,Bihar,GAYA-5,Education,Library construction,6920000,2025-02-11,2025-08-02,2025-07-14,V049133,Completed
P00000196,MP0077,West Bengal,KOLKATA-2,Water Supply,Pipeline installation,8780000,2025-01-30,2025-07-09,2025-06-30,V033473,Completed
P00000197,MP0003,Tamil Nadu,CHENNAI-5,Sanitation,Waste management facility,520000,2025-01-07,2025-04-10,,V014689,Ongoing
P00000198,MP0070,Telangana,NIZAMABAD-4,Agriculture,Irrigation development,2390000,2025-03-11,2025-10-19,2025-10-01,V014398,Completed
P00000199,MP0072,Madhya Pradesh,INDORE-1,Education,School laboratory development,3170000,2025-07-27,2026-03-30,,V044277,Ongoing
P00000200,MP0027,Bihar,MUZAFFARPUR-5,Road,Village road construction,6200000,2025-07-26,2026-03-17,2026-03-06,V031719,Completed
P00000201,MP0009,Madhya Pradesh,INDORE-2,Road,Village road construction,6310000,2025-05-03,2025-10-01,2025-09-25,V025084,Completed
P00000202,MP0062,Bihar,GAYA-5,Electricity,Electricity infrastructure,8170000,2025-07-09,2026-01-24,2026-01-16,V034869,Completed
P00000203,MP0037,Madhya Pradesh,UJJAIN-2,Road,Internal road development,5420000,2025-02-26,2025-07-23,,V022025,Ongoing
P00000204,MP0097,Madhya Pradesh,INDORE-4,Sanitation,Community toilet construction,6670000,2025-08-08,2025-11-10,,V013953,Ongoing
P00000205,MP0051,Rajasthan,JAIPUR-5,Electricity,Street lighting installation,6500000,2025-01-06,2025-08-14,2025-08-02,V020879,Completed
P00000206,MP0044,Karnataka,BELAGAVI-4,Education,School classroom construction,8250000,2025-02-18,2025-10-11,2025-09-27,V014169,Completed
P00000207,MP0024,Madhya Pradesh,BHOPAL-2,Agriculture,Irrigation development,3420000,2025-02-25,2025-09-30,2025-09-26,V045860,Completed
P00000208,MP0079,West Bengal,KOLKATA-5,Water Supply,Drinking water facility,1020000,2025-02-26,2025-07-08,2025-07-05,V028023,Completed
P00000209,MP0059,Uttar Pradesh,AGRA-4,Community Development,Community hall construction,1580000,2025-07-02,2026-01-24,2025-12-29,V038450,Completed
P00000210,MP0032,Karnataka,MYSURU-4,Electricity,Electricity infrastructure,1790000,2025-04-10,2025-08-12,2025-08-02,V048543,Completed
P00000211,MP0096,Maharashtra,PUNE-3,Road,Rural connectivity road,5380000,2025-01-26,2025-07-21,,V031219,Ongoing
P00000212,MP0088,Madhya Pradesh,INDORE-4,Water Supply,Pipeline installation,8950000,2025-02-15,2025-09-01,2025-12-26,V018908,Delayed
P00000213,MP0052,Bihar,MUZAFFARPUR-2,Sanitation,Sanitation infrastructure,8490000,2025-06-24,2025-11-23,2026-01-25,V012386,Completed
P00000214,MP0062,Bihar,GAYA-5,Agriculture,Irrigation development,4910000,2025-06-09,2026-01-14,2025-12-22,V034407,Completed
P00000215,MP0058,Uttar Pradesh,KANPUR-1,Education,School classroom construction,7320000,2025-04-23,2025-08-05,2025-07-28,V020326,Completed
P00000216,MP0052,Bihar,MUZAFFARPUR-2,Agriculture,Farmer support infrastructure,1230000,2025-08-30,2026-03-09,2026-02-07,V024592,Completed
P00000217,MP0012,Maharashtra,SATARA-5,Sports,Playground construction,7080000,2025-02-19,2025-10-29,2025-10-23,V024297,Completed
P00000218,MP0039,Tamil Nadu,TIRUCHIRAPPALLI-2,Electricity,Solar lighting installation,4160000,2025-05-25,2026-02-02,2026-01-08,V042727,Completed
P00000219,MP0002,Bihar,GAYA-1,Electricity,Street lighting installation,1360000,2025-06-02,2026-02-13,2026-02-01,V022938,Completed
P00000220,MP0003,Tamil Nadu,CHENNAI-5,Public Infrastructure,Infrastructure development,8520000,2025-06-06,2026-01-06,2026-01-03,V032002,Completed
P00000221,MP0056,Telangana,WARANGAL-5,Water Supply,Construction of water tank,9080000,2025-07-16,2026-01-23,,V026563,Ongoing
P00000222,MP0081,Rajasthan,KOTA-2,Road,Internal road development,5790000,2025-03-02,2025-08-23,2025-07-31,V001235,Completed
P00000223,MP0059,Uttar Pradesh,AGRA-4,Water Supply,Construction of water tank,2540000,2025-01-01,2025-09-06,,V032952,Ongoing
P00000224,MP0002,Bihar,GAYA-1,Water Supply,Construction of water tank,4640000,2025-06-12,2025-09-30,2025-09-07,V047299,Completed
P00000225,MP0002,Bihar,GAYA-1,Healthcare,Community health facility,1300000,2025-06-25,2025-10-23,2025-10-09,V049192,Completed
P00000226,MP0092,Tamil Nadu,MADURAI-3,Water Supply,Construction of water tank,1230000,2025-08-18,2026-03-19,2026-02-18,V006597,Completed
P00000227,MP0054,Karnataka,BELAGAVI-3,Sanitation,Community toilet construction,2490000,2025-04-12,2025-10-26,2025-10-07,V042299,Completed
P00000228,MP0087,Rajasthan,JAIPUR-2,Agriculture,Farmer support infrastructure,2170000,2025-01-24,2025-05-11,2025-05-06,V035808,Completed
P00000229,MP0096,Maharashtra,PUNE-3,Education,School classroom construction,5170000,2025-01-19,2025-08-05,2025-07-19,V009908,Completed
P00000230,MP0097,Madhya Pradesh,INDORE-4,Sports,Community sports facility,760000,2025-01-22,2025-07-04,2025-06-16,V008012,Completed
P00000231,MP0001,Karnataka,BELAGAVI-3,Water Supply,Water supply improvement,2580000,2025-08-13,2026-03-07,2026-02-26,V024289,Completed
P00000232,MP0019,Bihar,AURANGABAD-1,Healthcare,Community health facility,6150000,2025-01-07,2025-05-02,2025-04-26,V035079,Completed
P00000233,MP0002,Bihar,GAYA-1,Public Infrastructure,Public facility improvement,1300000,2025-04-13,2025-12-21,,V026747,Ongoing
P00000234,MP0053,Karnataka,BALLARI-1,Sanitation,Waste management facility,5020000,2025-06-28,2026-01-28,,V035034,Ongoing
P00000235,MP0044,Karnataka,BELAGAVI-4,Road,Village road construction,8960000,2025-08-27,2025-12-26,2026-06-08,V005466,Completed
P00000236,MP0090,Tamil Nadu,COIMBATORE-1,Water Supply,Drinking water facility,1740000,2025-03-25,2025-10-02,2025-09-17,V048226,Completed
P00000237,MP0032,Karnataka,MYSURU-4,Electricity,Electricity infrastructure,6230000,2025-08-05,2026-04-09,,V037793,Ongoing
P00000238,MP0070,Telangana,NIZAMABAD-4,Electricity,Street lighting installation,5880000,2025-07-21,2026-01-11,2025-12-17,V044499,Completed
P00000239,MP0032,Karnataka,MYSURU-4,Road,Road repair and improvement,9130000,2025-02-07,2025-08-22,2025-08-19,V045969,Completed
P00000240,MP0068,Bihar,BHAGALPUR-1,Road,Road repair and improvement,9800000,2025-07-16,2025-11-23,2025-11-11,V016363,Completed
P00000241,MP0055,Tamil Nadu,MADURAI-3,Healthcare,Health centre infrastructure,3990000,2025-08-01,2026-01-26,,V026630,Ongoing
P00000242,MP0075,Tamil Nadu,MADURAI-1,Sanitation,Waste management facility,7140000,2025-01-27,2025-08-14,2026-01-29,V026342,Completed
P00000243,MP0056,Telangana,WARANGAL-5,Agriculture,Agricultural storage facility,1180000,2025-05-05,2025-09-20,2025-09-08,V048631,Completed
P00000244,MP0017,Uttar Pradesh,AGRA-4,Community Development,Village development work,8550000,2025-02-08,2025-06-29,,V011345,Ongoing
P00000245,MP0038,Karnataka,KALABURAGI-3,Electricity,Street lighting installation,9530000,2025-03-07,2025-09-07,,V039828,Ongoing
P00000246,MP0024,Madhya Pradesh,BHOPAL-2,Water Supply,Construction of water tank,8280000,2025-07-20,2026-04-05,,V033130,Ongoing
P00000247,MP0069,Uttar Pradesh,LUCKNOW-4,Water Supply,Construction of water tank,9960000,2025-01-28,2025-05-26,,V040362,Ongoing
P00000248,MP0098,Uttar Pradesh,PRAYAGRAJ-1,Public Infrastructure,Public facility improvement,9500000,2025-03-08,2025-10-09,2025-09-16,V043711,Completed
P00000249,MP0070,Telangana,NIZAMABAD-4,Sanitation,Drainage improvement,2150000,2025-03-08,2025-07-04,2025-06-19,V040703,Completed
P00000250,MP0086,Bihar,MUZAFFARPUR-3,Education,School infrastructure improvement,3630000,2025-05-06,2026-01-14,,V028713,Ongoing
P00000251,MP0011,Rajasthan,KOTA-5,Water Supply,Water supply improvement,5710000,2025-01-20,2025-10-06,,V005850,Ongoing
P00000252,MP0016,Karnataka,KALABURAGI-2,Education,School infrastructure improvement,8660000,2025-05-25,2026-01-08,2025-12-10,V038236,Completed
P00000253,MP0097,Madhya Pradesh,INDORE-4,Public Infrastructure,Infrastructure development,9600000,2025-02-02,2025-07-05,2025-06-20,V038765,Completed
P00000254,MP0073,Tamil Nadu,CHENNAI-3,Water Supply,Drinking water facility,4130000,2025-05-24,2025-09-07,2025-08-18,V006344,Completed
P00000255,MP0059,Uttar Pradesh,AGRA-4,Electricity,Street lighting installation,8980000,2025-08-28,2026-03-22,2026-03-04,V016363,Completed
P00000256,MP0070,Telangana,NIZAMABAD-4,Public Infrastructure,Public building construction,4600000,2025-07-05,2026-01-18,,V013447,Ongoing
P00000257,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Sports,Community sports facility,9150000,2025-07-30,2026-04-06,2026-03-17,V047303,Completed
P00000258,MP0093,West Bengal,HOWRAH-3,Sports,Playground construction,3500000,2025-02-03,2025-10-02,2025-12-16,V024733,Completed
P00000259,MP0003,Tamil Nadu,CHENNAI-5,Electricity,Electricity infrastructure,3240000,2025-01-23,2025-09-13,2025-08-25,V038211,Completed
P00000260,MP0020,Gujarat,BHAVNAGAR-2,Community Development,Community hall construction,7760000,2025-08-09,2025-12-25,2025-12-11,V048434,Completed
P00000261,MP0059,Uttar Pradesh,AGRA-4,Public Infrastructure,Public facility improvement,1610000,2025-06-29,2025-11-24,,V045100,Ongoing
P00000262,MP0036,Gujarat,RAJKOT-1,Public Infrastructure,Public facility improvement,1060000,2025-03-30,2025-11-06,2025-10-26,V030413,Completed
P00000263,MP0019,Bihar,AURANGABAD-1,Public Infrastructure,Public facility improvement,9340000,2025-06-30,2026-01-14,,V012063,Ongoing
P00000264,MP0090,Tamil Nadu,COIMBATORE-1,Public Infrastructure,Public facility improvement,3200000,2025-01-30,2025-05-31,2025-05-03,V010499,Completed
P00000265,MP0067,Gujarat,RAJKOT-4,Public Infrastructure,Infrastructure development,4730000,2025-04-04,2025-12-27,2026-02-10,V012903,Completed
P00000266,MP0019,Bihar,AURANGABAD-1,Electricity,Street lighting installation,1470000,2025-05-26,2026-01-21,2025-12-30,V041954,Completed
P00000267,MP0020,Gujarat,BHAVNAGAR-2,Education,School infrastructure improvement,4100000,2025-01-12,2025-04-15,2025-03-27,V015718,Completed
P00000268,MP0096,Maharashtra,PUNE-3,Healthcare,Medical equipment purchase,8670000,2025-08-10,2026-03-15,2026-02-22,V027341,Completed
P00000269,MP0071,Tamil Nadu,SALEM-2,Community Development,Community hall construction,3100000,2025-06-29,2025-10-26,2025-10-24,V015179,Completed
P00000270,MP0052,Bihar,MUZAFFARPUR-2,Sports,Sports ground development,7630000,2025-07-31,2026-03-05,2026-02-03,V015205,Completed
P00000271,MP0033,Telangana,NIZAMABAD-5,Healthcare,Medical equipment purchase,7070000,2025-08-11,2026-03-04,2026-02-13,V009479,Completed
P00000272,MP0040,Rajasthan,JODHPUR-5,Sanitation,Waste management facility,4310000,2025-06-26,2025-10-31,2025-10-07,V020459,Completed
P00000273,MP0039,Tamil Nadu,TIRUCHIRAPPALLI-2,Agriculture,Irrigation development,4510000,2025-05-23,2025-10-06,2025-10-01,V004123,Completed
P00000274,MP0082,Rajasthan,JODHPUR-3,Water Supply,Pipeline installation,5490000,2025-02-05,2025-09-27,2026-03-09,V009223,Delayed
P00000275,MP0001,Karnataka,BELAGAVI-3,Healthcare,Community health facility,5210000,2025-02-17,2025-10-01,2025-09-05,V046344,Completed
P00000276,MP0011,Rajasthan,KOTA-5,Education,School infrastructure improvement,2040000,2025-07-01,2025-12-15,2025-11-23,V023082,Completed
P00000277,MP0092,Tamil Nadu,MADURAI-3,Community Development,Public facility development,680000,2025-01-11,2025-10-08,2025-09-30,V013533,Completed
P00000278,MP0057,West Bengal,SILIGURI-2,Road,Rural connectivity road,2820000,2025-02-22,2025-08-23,2025-07-31,V020309,Completed
P00000279,MP0089,Madhya Pradesh,UJJAIN-5,Agriculture,Agricultural storage facility,2090000,2025-05-21,2025-10-11,,V021658,Ongoing
P00000280,MP0050,Karnataka,HUBBALLI-2,Electricity,Solar lighting installation,3170000,2025-06-18,2026-03-13,2026-03-11,V031293,Completed
P00000281,MP0023,Bihar,PATNA-3,Healthcare,Primary health centre development,3350000,2025-05-04,2025-12-03,2025-11-18,V024852,Completed
P00000282,MP0031,Gujarat,SURAT-4,Agriculture,Irrigation development,6310000,2025-01-20,2025-08-06,,V008413,Ongoing
P00000283,MP0094,Madhya Pradesh,UJJAIN-4,Agriculture,Farmer support infrastructure,4850000,2025-07-31,2026-01-07,2025-12-31,V030287,Completed
P00000284,MP0042,Maharashtra,SOLAPUR-3,Community Development,Public facility development,8890000,2025-03-27,2025-10-04,2025-09-12,V007255,Completed
P00000285,MP0099,Karnataka,BALLARI-2,Healthcare,Health centre infrastructure,1300000,2025-07-06,2025-12-17,2025-11-22,V040527,Completed
P00000286,MP0007,Bihar,BHAGALPUR-5,Community Development,Public facility development,6100000,2025-08-12,2026-01-06,,V024627,Ongoing
P00000287,MP0016,Karnataka,KALABURAGI-2,Public Infrastructure,Public facility improvement,4900000,2025-04-22,2025-09-13,2025-08-18,V024450,Completed
P00000288,MP0090,Tamil Nadu,COIMBATORE-1,Electricity,Electricity infrastructure,7750000,2025-07-15,2026-03-25,,V045296,Ongoing
P00000289,MP0060,Telangana,HYDERABAD-1,Water Supply,Water supply improvement,5400000,2025-02-03,2025-09-09,,V011636,Ongoing
P00000290,MP0002,Bihar,GAYA-1,Water Supply,Construction of water tank,9660000,2025-01-10,2025-09-03,2025-08-18,V017755,Completed
P00000291,MP0001,Karnataka,BELAGAVI-3,Water Supply,Drinking water facility,5650000,2025-01-18,2025-09-11,2025-09-08,V020369,Completed
P00000292,MP0048,Bihar,AURANGABAD-4,Electricity,Solar lighting installation,1370000,2025-07-18,2026-03-18,,V022723,Ongoing
P00000293,MP0012,Maharashtra,SATARA-5,Sanitation,Sanitation infrastructure,1300000,2025-07-04,2026-03-10,2026-02-10,V012232,Completed
P00000294,MP0069,Uttar Pradesh,LUCKNOW-4,Community Development,Village development work,6570000,2025-04-05,2025-08-04,,V049067,Ongoing
P00000295,MP0037,Madhya Pradesh,UJJAIN-2,Agriculture,Farmer support infrastructure,7810000,2025-04-19,2025-11-16,2025-10-30,V041061,Completed
P00000296,MP0032,Karnataka,MYSURU-4,Community Development,Community hall construction,8790000,2025-08-29,2026-05-14,,V040241,Ongoing
P00000297,MP0009,Madhya Pradesh,INDORE-2,Agriculture,Irrigation development,8510000,2025-06-16,2026-01-14,2026-04-19,V011268,Delayed
P00000298,MP0099,Karnataka,BALLARI-2,Agriculture,Irrigation development,610000,2025-02-17,2025-08-23,2025-07-24,V004808,Completed
P00000299,MP0019,Bihar,AURANGABAD-1,Electricity,Street lighting installation,5670000,2025-07-12,2025-12-03,,V040176,Ongoing
P00000300,MP0048,Bihar,AURANGABAD-4,Education,School classroom construction,4550000,2025-05-21,2026-01-12,2025-12-27,V004489,Completed
P00000301,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Education,School laboratory development,5370000,2025-02-18,2025-06-12,,V001105,Ongoing
P00000302,MP0003,Tamil Nadu,CHENNAI-5,Agriculture,Farmer support infrastructure,5100000,2025-07-08,2026-03-27,2026-03-26,V032330,Completed
P00000303,MP0020,Gujarat,BHAVNAGAR-2,Road,Rural connectivity road,7970000,2025-06-04,2025-09-14,2025-08-29,V005816,Completed
P00000304,MP0024,Madhya Pradesh,BHOPAL-2,Water Supply,Drinking water facility,7370000,2025-02-28,2025-09-08,,V013037,Ongoing
P00000305,MP0054,Karnataka,BELAGAVI-3,Sanitation,Community toilet construction,2250000,2025-03-21,2025-09-14,2025-08-18,V009942,Completed
P00000306,MP0033,Telangana,NIZAMABAD-5,Sanitation,Drainage improvement,9200000,2025-01-15,2025-06-07,2025-06-02,V028383,Completed
P00000307,MP0024,Madhya Pradesh,BHOPAL-2,Road,Village road construction,4230000,2025-06-09,2025-10-11,2025-10-05,V015212,Completed
P00000308,MP0075,Tamil Nadu,MADURAI-1,Education,School infrastructure improvement,8260000,2025-05-26,2026-01-15,2025-12-24,V014013,Completed
P00000309,MP0072,Madhya Pradesh,INDORE-1,Agriculture,Farmer support infrastructure,3690000,2025-06-01,2025-11-14,,V032969,Ongoing
P00000310,MP0036,Gujarat,RAJKOT-1,Community Development,Public facility development,1810000,2025-06-03,2025-12-23,2025-12-11,V025279,Completed
P00000311,MP0038,Karnataka,KALABURAGI-3,Road,Village road construction,8110000,2025-04-10,2025-07-11,,V017267,Ongoing
P00000312,MP0084,Karnataka,BELAGAVI-4,Agriculture,Irrigation development,4710000,2025-02-24,2025-09-03,,V047326,Ongoing
P00000313,MP0099,Karnataka,BALLARI-2,Agriculture,Irrigation development,3280000,2025-05-04,2025-08-26,2025-08-18,V038929,Completed
P00000314,MP0089,Madhya Pradesh,UJJAIN-5,Sanitation,Waste management facility,2500000,2025-06-01,2025-12-22,2025-11-24,V044743,Completed
P00000315,MP0099,Karnataka,BALLARI-2,Electricity,Solar lighting installation,5940000,2025-03-09,2025-06-30,2025-07-30,V037102,Completed
P00000316,MP0025,Rajasthan,JODHPUR-4,Water Supply,Water supply improvement,7380000,2025-08-26,2026-02-09,2026-01-24,V042229,Completed
P00000317,MP0093,West Bengal,HOWRAH-3,Agriculture,Agricultural storage facility,2710000,2025-04-05,2025-09-17,2025-08-22,V010690,Completed
P00000318,MP0018,Rajasthan,JODHPUR-3,Agriculture,Agricultural storage facility,9210000,2025-03-17,2025-10-20,2025-10-08,V009520,Completed
P00000319,MP0082,Rajasthan,JODHPUR-3,Agriculture,Farmer support infrastructure,1910000,2025-07-17,2026-04-05,2026-03-09,V016093,Completed
P00000320,MP0066,Tamil Nadu,CHENNAI-1,Road,Rural connectivity road,3090000,2025-08-11,2025-11-24,2026-01-21,V013425,Delayed
P00000321,MP0054,Karnataka,BELAGAVI-3,Road,Village road construction,9930000,2025-01-02,2025-09-05,2025-08-14,V007622,Completed
P00000322,MP0035,Rajasthan,JAIPUR-3,Sanitation,Sanitation infrastructure,3680000,2025-01-17,2025-06-05,2025-05-09,V035233,Completed
P00000323,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Water Supply,Pipeline installation,8880000,2025-02-22,2025-06-08,2025-05-27,V038694,Completed
P00000324,MP0061,Uttar Pradesh,AGRA-1,Sanitation,Drainage improvement,6700000,2025-07-26,2026-01-03,2026-06-19,V028929,Completed
P00000325,MP0041,Maharashtra,LATUR-3,Sanitation,Waste management facility,650000,2025-06-01,2025-09-10,2025-08-31,V014775,Completed
P00000326,MP0100,Maharashtra,NASHIK-5,Education,School classroom construction,3520000,2025-04-11,2025-08-22,2025-08-05,V025738,Completed
P00000327,MP0033,Telangana,NIZAMABAD-5,Road,Rural connectivity road,9030000,2025-01-21,2025-07-12,2025-06-30,V021876,Completed
P00000328,MP0068,Bihar,BHAGALPUR-1,Community Development,Village development work,2030000,2025-06-30,2026-02-25,,V032567,Ongoing
P00000329,MP0033,Telangana,NIZAMABAD-5,Road,Village road construction,9680000,2025-03-31,2025-08-06,,V009823,Ongoing
P00000330,MP0014,West Bengal,DURGAPUR-5,Healthcare,Health centre infrastructure,850000,2025-03-03,2025-11-16,2025-11-01,V040984,Completed
P00000331,MP0021,Telangana,KARIMNAGAR-3,Road,Rural connectivity road,7750000,2025-04-23,2025-09-11,,V032200,Ongoing
P00000332,MP0048,Bihar,AURANGABAD-4,Water Supply,Construction of water tank,4370000,2025-02-03,2025-07-25,2025-08-29,V031516,Completed
P00000333,MP0020,Gujarat,BHAVNAGAR-2,Sanitation,Waste management facility,3010000,2025-07-15,2026-02-28,2026-02-04,V000092,Completed
P00000334,MP0008,Maharashtra,NANDED-4,Sports,Playground construction,3000000,2025-03-02,2025-09-15,,V025072,Ongoing
P00000335,MP0007,Bihar,BHAGALPUR-5,Healthcare,Primary health centre development,8390000,2025-07-22,2026-01-04,2025-12-23,V002611,Completed
P00000336,MP0067,Gujarat,RAJKOT-4,Road,Road repair and improvement,1440000,2025-06-26,2026-03-16,2026-02-21,V036499,Completed
P00000337,MP0017,Uttar Pradesh,AGRA-4,Healthcare,Health centre infrastructure,9580000,2025-03-27,2025-07-28,2025-07-21,V014429,Completed
